City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,vila franca do campo,37.7167,-25.4333,21.05,88,17,0.59,PT,2023-08-16 06:00:00
69,jiwani,25.05,61.7417,27.37,80,100,4.66,PK,2023-08-16 06:00:00
70,portland,45.5234,-122.6762,29.57,51,0,0.94,US,2023-08-16 06:00:00
71,udachnyy,66.4167,112.4,26.36,38,37,4.58,RU,2023-08-16 06:00:00
72,tasiilaq,65.6145,-37.6368,6.09,86,9,1.47,GL,2023-08-16 06:00:00
73,fortuna,40.5982,-124.1573,20.57,94,0,1.13,US,2023-08-16 06:00:00
74,namibe,-15.1961,12.1522,16.45,88,22,3.7,AO,2023-08-16 06:00:00
75,rio grande,-32.035,-52.0986,14.17,87,74,4.23,BR,2023-08-16 06:00:00
76,khatanga,71.9667,102.5,10.76,77,100,4.53,RU,2023-08-16 06:00:00
77,griffith,41.5284,-87.4237,16.01,93,0,1.68,US,2023-08-16 06:00:00
78,yellowknife,62.456,-114.3525,14.03,70,40,2.89,CA,2023-08-16 06:00:00
79,airai,-8.9266,125.4092,22.71,50,30,1.48,TL,2023-08-16 06:00:00
80,toppenish,46.3774,-120.3087,30.58,25,0,2.59,US,2023-08-16 06:00:00
81,neiafu,-18.65,-173.9833,24.5,94,100,9.03,TO,2023-08-16 06:00:00
82,santa maria,-29.6842,-53.8069,15.63,86,60,1.94,BR,2023-08-16 06:00:00
83,general roca,-39.0333,-67.5833,12.57,77,86,8.5,AR,2023-08-16 06:00:00
84,xai-xai,-25.0519,33.6442,21.06,66,92,5.2,MZ,2023-08-16 06:00:00
85,vila velha,-20.3297,-40.2925,22.05,94,75,3.58,BR,2023-08-16 06:00:00
86,sulangan,11.1373,123.7228,28.84,71,55,2.67,PH,2023-08-16 06:00:00
87,saint-philippe,-21.3585,55.7679,24.77,72,1,3.81,RE,2023-08-16 06:00:00
88,manuk mangkaw,4.8,119.85,27.32,80,100,6.26,PH,2023-08-16 06:00:00
89,ahipara,-35.1667,173.1667,13.23,81,6,6.45,NZ,2023-08-16 06:00:00
90,qaanaaq,77.484,-69.3632,2.79,66,69,3.74,GL,2023-08-16 06:00:00
91,kodiak,57.79,-152.4072,10.73,93,100,1.6,US,2023-08-16 06:00:00
92,buchanan,5.8808,-10.0467,24.6,82,98,3.28,LR,2023-08-16 06:00:00
93,surt,31.2089,16.5887,25.55,66,0,3.16,LY,2023-08-16 06:00:00
94,hobart,-42.8794,147.3294,15.12,58,75,3.21,AU,2023-08-16 06:00:00
95,thompson,55.7435,-97.8558,15.09,88,100,4.56,CA,2023-08-16 06:00:00
96,malakal,9.5334,31.6605,24.89,83,98,2.16,SS,2023-08-16 06:00:00
97,yulara,-25.2406,130.9889,29.67,20,27,9.46,AU,2023-08-16 06:00:00
98,katsuura,35.1333,140.3,30.01,79,25,6.7,JP,2023-08-16 06:00:00
99,krasnaya polyana,56.242,51.1442,24.05,59,98,2.2,RU,2023-08-16 06:00:00
100,castro,-24.7911,-50.0119,11.97,99,77,1.94,BR,2023-08-16 06:00:00
101,yekaterinogradskaya,43.7635,44.2317,29.68,36,56,2.47,RU,2023-08-16 06:00:00
102,longyearbyen,78.2186,15.6401,5.91,81,75,2.83,SJ,2023-08-16 06:00:00
103,sakakah,29.9697,40.2064,37.34,9,5,3.09,SA,2023-08-16 06:00:00
104,kavaratti,10.5669,72.642,27.64,74,49,2.95,IN,2023-08-16 06:00:00
105,shwebo,22.5667,95.7,32.17,58,86,3.93,MM,2023-08-16 06:00:00
106,mandalgovi,45.7625,106.2708,23.33,42,100,5.15,MN,2023-08-16 06:00:00
107,tuktoyaktuk,69.4541,-133.0374,8.0,87,100,5.24,CA,2023-08-16 06:00:00
108,yar-sale,66.8333,70.8333,16.78,57,60,3.98,RU,2023-08-16 06:00:00
109,port keats,-14.25,129.55,27.46,60,36,6.3,AU,2023-08-16 06:00:00
110,leningradskiy,69.3833,178.4167,6.88,87,100,1.93,RU,2023-08-16 06:00:00
111,hithadhoo,-0.6,73.0833,27.83,68,20,2.86,MV,2023-08-16 06:00:00
112,upernavik,72.7868,-56.1549,4.91,80,39,2.21,GL,2023-08-16 06:00:00
113,klaksvik,62.2266,-6.589,10.42,85,100,2.33,FO,2023-08-16 06:00:00
114,punta arenas,-53.15,-70.9167,0.34,80,8,4.23,CL,2023-08-16 06:00:00
115,san quintin,30.4833,-115.95,20.67,85,99,5.4,MX,2023-08-16 06:00:00
116,hasaki,35.7333,140.8333,32.24,79,68,7.04,JP,2023-08-16 06:00:00
117,mayo,38.8876,-76.5119,23.02,90,100,4.33,US,2023-08-16 06:00:00
118,chapais,49.7834,-74.8492,11.88,73,32,1.94,CA,2023-08-16 06:00:00
119,alpharetta,34.0754,-84.2941,21.03,90,2,2.02,US,2023-08-16 06:00:00
120,cherskiy,68.75,161.3,13.38,48,100,3.5,RU,2023-08-16 06:00:00
121,shiyan,32.6475,110.7781,35.06,39,91,2.1,CN,2023-08-16 06:00:00
122,bethel,41.3712,-73.414,19.77,88,100,1.28,US,2023-08-16 06:00:00
123,bathsheba,13.2167,-59.5167,28.34,83,40,7.19,BB,2023-08-16 06:00:00
124,dunedin,-45.8742,170.5036,9.33,56,27,3.68,NZ,2023-08-16 06:00:00
125,palma soriano,20.2172,-75.9989,27.48,93,87,0.61,CU,2023-08-16 06:00:00
126,chuy,-33.6971,-53.4616,14.78,82,88,3.75,UY,2023-08-16 06:00:00
127,butaritari,3.0707,172.7902,29.27,67,91,4.29,KI,2023-08-16 06:00:00
128,puerto ayora,-0.7393,-90.3518,23.09,93,17,2.63,EC,2023-08-16 06:00:00
129,quatre cocos,-20.2078,57.7625,25.05,67,12,5.18,MU,2023-08-16 06:00:00
130,saskylakh,71.9167,114.0833,17.17,55,100,3.29,RU,2023-08-16 06:00:00
131,srednekolymsk,67.45,153.6833,22.2,49,100,3.37,RU,2023-08-16 06:00:00
132,deputatskiy,69.3,139.9,19.37,39,22,2.34,RU,2023-08-16 06:00:00
133,jiangdu,32.4286,119.5574,31.57,64,34,1.29,CN,2023-08-16 06:00:00
